Identifier,Title,Date,Creator,Object Type,Format,Rights Statement,FILES
202104_253,Travel pool report 5 - post-church,2021-04-18T18:27:14Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,253/body-253.html
202104_254,Travel pool report 4 - confirmation of grandson,2021-04-18T17:23:53Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,254/body-254.html
202104_255,Travel pool report 3 - church,2021-04-18T16:57:36Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,255/body-255.html
202104_256,White House In-Town Pool Report #2 — Brunch Lid,2021-04-18T16:41:20Z,Scott Bixby,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,256/body-256.html;256/attachments/Outlook-d2ucvpip.png
202104_257,White House In-Town Pool Report #1 — POTUS in Wilmington,2021-04-18T13:11:28Z,Scott Bixby,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,257/body-257.html;257/attachments/Outlook-i0hxpyam.png
202104_258,Travel pool report 8 (CORRECTING SEQUENCE NUMBER) - cleaner Biden quote on Navalny,2021-04-17T22:00:07Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,258/body-258.html
202104_259,Travel pool report 7 - cleaner Biden quote on Navalny,2021-04-17T21:39:01Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,259/body-259.html
202104_260,Travel pool report 7 - more quotes,2021-04-17T20:31:33Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,260/body-260.html
202104_261,Travel pool report 6 - POTUS residence and lid,2021-04-17T20:14:53Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,261/body-261.html
202104_262,Travel pool report 5 - rolling & gaggle quotes,2021-04-17T20:08:58Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,262/body-262.html
202104_263,Travel pool report 4 - Biden golfing partners,2021-04-17T17:37:24Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,263/body-263.html
202104_264,Travel pool report 3 - golf club,2021-04-17T17:03:15Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,264/body-264.html
202104_265,Travel pool report 2 - rolling,2021-04-17T16:51:09Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,265/body-265.html
202104_266,Travel pool 1 - gathering,2021-04-17T15:10:09Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,266/body-266.html
202104_267,Travel pool report 4 - lid,2021-04-16T23:27:52Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,267/body-267.html
202104_268,Travel pool report 2a - POTUS travelers,2021-04-16T23:09:16Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,268/body-268.html
202104_269,Travel pool report 2 - POTUS arrival,2021-04-16T23:03:34Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,269/body-269.html
202104_270,In-town pool report #9B,2021-04-16T18:06:58-04:00,Ryan Brooks,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,270/body-270.html
